name,name_short,name_tv,gender,function,country_code,country,,nationality,height,,disciplines,events,birth_date,birth_place,birth_country,residence_place,,state,
MAAN Tulika,MAAN T,Tulika MAAN,Female,Athlete,IND,India,,India,0,,['Judo'],['Women +78 kg'],09-09-1998,NEW DELHI,India,NEW DELHI,,DELHI,
SHARMA Shubhankar,SHARMA S,Shubhankar SHARMA,Male,Athlete,IND,India,,India,177,,['Golf'],"[""Men's Individual Stroke Play""]",21-07-1996,JHANSI,India,,,UP,
BHULLAR Gaganjeet,BHULLAR G,Gaganjeet BHULLAR,Male,Athlete,IND,India,,India,184,,['Golf'],"[""Men's Individual Stroke Play""]",27-04-1988,AMRITSAR,India,,,PUNJAB,
ASHOK Aditi,ASHOK A,Aditi ASHOK,Female,Athlete,IND,India,,India,173,,['Golf'],"[""Women's Individual Stroke Play""]",29-03-1998,BENGALURU,India,BENGALURU,,KAKARNATAKA,
DAGAR Diksha,DAGAR D,Diksha DAGAR,Female,Athlete,IND,India,,India,175,,['Golf'],"[""Women's Individual Stroke Play""]",14-12-2000,JHAJJAR,India,DELHI,,DELHI,
PANWAR Balraj,PANWAR B,Balraj PANWAR,Male,Athlete,IND,India,,India,0,,['Rowing'],"[""Men's Single Sculls""]",26-07-1999,KAIMLA,India,,,HARYANA,
SAIKHOM Mirabai Chanu,SAIKHOM MC,Mirabai Chanu SAIKHOM,Female,Athlete,IND,India,,India,0,,['Weightlifting'],"[""Women's 49kg""]",08-08-1994,NONGPOK KAKCHING,India,MANIPUR,,MEGHALAYA,
SARAVANAN Vishnu,SARAVANAN V,Vishnu SARAVANAN,Male,Athlete,IND,India,,India,0,,['Sailing'],"[""Men's Dinghy""]",24-02-1999,VELLORE,India,MUMBAI,,TAMIL NADU,
KUMANAN Nethra,KUMANAN N,Nethra KUMANAN,Female,Athlete,IND,India,,India,0,,['Sailing'],"[""Women's Dinghy""]",21-08-1997,,India,CHENNAI,,TAMIL NADU,
TONDAIMAN Prithviraj,TONDAIMAN P,Prithviraj TONDAIMAN,Male,Athlete,IND,India,,India,0,,['Shooting'],['Trap Men'],06-06-1987,,,,,,
KUSALE Swapnil,KUSALE S,Swapnil KUSALE,Male,Athlete,IND,India,,India,0,,['Shooting'],['50m Rifle 3 Positions Men'],06-08-1995,,,PUNE,,MAHARASHTRA,
BATRA Manika,BATRA M,Manika BATRA,Female,Athlete,IND,India,,India,0,,['Table Tennis'],"[""Women's Singles"", ""Women's Team""]",15-06-1995,NEW DELHI,India,PUNE,,DELHI,
THAKKAR Manav Vikash,THAKKAR MV,Manav Vikash THAKKAR,Male,Athlete,IND,India,,India,0,,['Table Tennis'],"[""Men's Team""]",14-04-2000,RAJKOT,India,,,GUJRAT,
AKULA Sreeja,AKULA S,Sreeja AKULA,Female,Athlete,IND,India,,India,0,,['Table Tennis'],"[""Women's Singles"", ""Women's Team""]",31-07-1998,HYDERABAD,India,,,TELANGANA,
CHAUHAN Maheshwari,CHAUHAN M,Maheshwari CHAUHAN,Female,Athlete,IND,India,,India,0,,['Shooting'],"['Skeet Women', 'Skeet Mixed Team']",04-07-1996,SIANA JALORE,India,SIANA JALORE,,RAJASTHAN,
ACHANTA Sharath Kamal,ACHANTA SK,Sharath Kamal ACHANTA,Male,Athlete,IND,India,,India,0,,['Table Tennis'],"[""Men's Singles"", ""Men's Team""]",12-07-1982,MACHILIPATNAM,India,CHENNAI,,ANDHRA PRADESH,
MOUDGIL Anjum,MOUDGIL A,Anjum MOUDGIL,Female,Athlete,IND,India,,India,0,,['Shooting'],['50m Rifle 3 Positions Women'],05-01-1994,CHANDIGARH,India,CHANDIGARH,,PUNJAB,
SINGH Shreyasi,SINGH S,Shreyasi SINGH,Female,Athlete,IND,India,,India,0,,['Shooting'],['Trap Women'],29-08-1991,NEW DELHI,India,,,DELHI,
BHAKER Manu,BHAKER M,Manu BHAKER,Female,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",18-02-2002,JHAJJAR,India,DELHI,,HARYANA,
VALARIVAN Elavenil,VALARIVAN E,Elavenil VALARIVAN,Female,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Rifle Women', '10m Air Rifle Mixed Team']",02-08-1999,TAMIL NADU,India,AHMEDABAD,,TAMIL NADU,
DESAI Harmeet,DESAI H,Harmeet DESAI,Male,Athlete,IND,India,,India,0,,['Table Tennis'],"[""Men's Singles"", ""Men's Team""]",19-07-1993,SURAT,India,,,GUJRAT,
KAMATH Archana Girish,KAMATH AG,Archana Girish KAMATH,Female,Athlete,IND,India,,India,0,,['Table Tennis'],"[""Women's Team""]",17-06-2000,,,,,,
PRANNOY H. S,PRANNOY HS,H. S. PRANNOY,Male,Athlete,IND,India,,India,179,,['Badminton'],"[""Men's Singles""]",17-07-1992,DELHI,India,HYDERABAD,,DELHI,
RANKIREDDY Satwiksairaj,RANKIREDDY S,Satwiksairaj RANKIREDDY,Male,Athlete,IND,India,,India,184,,['Badminton'],"[""Men's Doubles""]",13-08-2000,AMALAPURAM,India,HYDERABAD,,ANDHRA PRADESH,
SHETTY Chirag,SHETTY C,Chirag SHETTY,Male,Athlete,IND,India,,India,186,,['Badminton'],"[""Men's Doubles""]",04-07-1997,MUMBAI,India,MUMBAI,,MAHARASHTRA,
PUSARLA V. Sindhu,PUSARLA VS,V. Sindhu PUSARLA,Female,Athlete,IND,India,,India,179,,['Badminton'],"[""Women's Singles""]",05-07-1995,HYDERABAD,India,HYDERABAD,,TELANGANA,
AGARWALLA Anush,AGARWALLA A,Anush AGARWALLA,Male,Athlete,IND,India,,India,0,,['Equestrian'],['Dressage Individual'],23-11-1999,KOLKATA,India,BORCHEN-ETTELN,,WEST BENGAL,
CRASTO Tanisha,CRASTO T,Tanisha CRASTO,Female,Athlete,IND,India,,India,160,,['Badminton'],"[""Women's Doubles""]",05-05-2003,DUBAI,UA Emirates,HYDERABAD,,TELANGANA,
PONNAPPA Ashwini,PONNAPPA A,Ashwini PONNAPPA,Female,Athlete,IND,India,,India,164,,['Badminton'],"[""Women's Doubles""]",18-09-1989,BENGALURU,India,,,KARNATAKA,
SIDHU Vijayveer,SIDHU V,Vijayveer SIDHU,Male,Athlete,IND,India,,India,0,,['Shooting'],['25m Rapid Fire Pistol Men'],21-06-2002,MANSA,,CHANDIGARH,,HARYANA,
TOMAR Aishwary Pratap Singh,TOMAR APS,Aishwary Pratap Singh TOMAR,Male,Athlete,IND,India,,India,0,,['Shooting'],['50m Rifle 3 Positions Men'],03-02-2001,RATANPUR,India,BHOPAL,,MAHARASHTRA,
NARUKA Anant Jeet Singh,NARUKA AJS,Anant Jeet Singh NARUKA,Male,Athlete,IND,India,,India,0,,['Shooting'],"['Skeet Men', 'Skeet Mixed Team']",01-07-1998,JAIPUR,India,JAIPUR,,RAJASTHAN,
ANISH Anish,ANISH A,Anish ANISH,Male,Athlete,IND,India,,India,0,,['Shooting'],['25m Rapid Fire Pistol Men'],26-09-2002,SONIPAT,India,DELHI,,DHARYANA,
BABUTA Arjun,BABUTA A,Arjun BABUTA,Male,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",24-01-1999,JALALABAD,India,CHANDIGARH,,UP,
CHEEMA Arjun Singh,CHEEMA AS,Arjun Singh CHEEMA,Male,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",13-06-2001,MANDI GOBINDGARM,India,PUNJAB,,HIMACHAL PRADESH,
SINGH Sandee,SINGH S,Sandeep SINGH,Male,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",20-01-1996,FARIDKOT,India,,,PUNJAB,
SAMRA Sift Kaur,SAMRA SK,Sift Kaur SAMRA,Female,Athlete,IND,India,,India,0,,['Shooting'],['50m Rifle 3 Positions Women'],09-09-2001,SRI GANGANAGAR,India,FARIDKOT,,RAJASTHAN,
SINGH Esha,SINGH E,Esha SINGH,Female,Athlete,IND,India,,India,0,,['Shooting'],['25m Pistol Women'],01-01-2005,SECUNDERABAD,India,HYDERABAD,,TELANGANA,
RAMITA Ramita,RAMITA R,Ramita RAMITA,Female,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Rifle Women', '10m Air Rifle Mixed Team']",16-01-2004,,,,,,
KUMARI Rajeshwari,KUMARI R,Rajeshwari KUMARI,Female,Athlete,IND,India,,India,0,,['Shooting'],['Trap Women'],10-12-1991,,,,,,
SANGWAN Rhythm,SANGWAN R,Rhythm SANGWAN,Female,Athlete,IND,India,,India,0,,['Shooting'],"['10m Air Pistol Women', '10m Air Pistol Mixed Team']",29-11-2003,,,FARIDABAD,,HARYANA,
SEN Lakshya,SEN L,Lakshya SEN,Male,Athlete,IND,India,,India,179,,['Badminton'],"[""Men's Singles""]",16-08-2001,ALMORA,India,BANGALORE,,UTTARAKHAND,
BOPANNA Rohan,BOPANNA R,Rohan BOPANNA,Male,Athlete,IND,India,,India,190,,['Tennis'],"[""Men's Doubles""]",04-03-1980,BANGALORE,India,,,KARNATAKA,
BALAJI Nsriram,BALAJI N,Nsriram BALAJI,Male,Athlete,IND,India,,India,182,,['Tennis'],"[""Men's Doubles""]",18-03-1990,COIMBATORE,India,,,TAMIL NADU,
NAGAL Sumit,NAGAL S,Sumit NAGAL,Male,Athlete,IND,India,,India,178,,['Tennis'],"[""Men's Singles""]",16-08-1997,JHAJJAR,India,,,HARYANA,
PARATTU RAVEENDRAN Sreejesh,PARATTU RAVEENDRAN,Sreejesh PARATTU RAVEENDRAN,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],08-05-1988,ERNAKULAM,India,CHENNAI,,KERELA,
SINGH Harmanpreet,SINGH H,Harmanpreet SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],06-01-1996,AMRITSAR,India,AMRITSAR,,PUNJAB,
SINGH Jarmanpreet,SINGH J,Jarmanpreet SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],18-07-1996,AMRITSAR,India,JALANDHAR,,PUNJAB,
SINGH Hardik,SINGH H,Hardik SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],23-09-1998,KHUSROPUR,India,,,PUNJAB,
PRASAD Vivek Sagar,PRASAD VS,Vivek Sagar PRASAD,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],25-02-2000,ITARSI,India,BHOPAL,,MP,
SINGH Mandee,SINGH M,Mandeep SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],25-01-1995,JALANDHAR,India,JALANDHAR,,PUNJAB,
SINGH Shamsher,SINGH S,Shamsher SINGH,Male,Athlete,IND,India,,India,0,,['Hockey'],['Men'],29-07-1997,ATTARI,India,AMRITSAR,,PUNJAB,
