code,team,team_gender,country_code,country,discipline,disciplines_code,events,athletes,coaches,athletes_codes,num_athletes,coaches_codes,num_coaches
ARCMTEAM3---IND01,India,M,IND,India,Archery,ARC,Men's Team,"['BOMMADEVARA Dhiraj', 'JADHAV Pravin Ramesh', 'RAI Tarundeep']",,"['1546108', '1546112', '1546110']",3,,
ARCWTEAM3---IND01,India,W,IND,India,Archery,ARC,Women's Team,"['BHAKAT Ankita', 'KAUR Bhajan', 'KUMARI Deepika']",,"['1546200', '1546133', '1546132']",3,,
ARCXTEAM2---IND01,India,X,IND,India,Archery,ARC,Mixed Team,"['BHAKAT Ankita', 'BOMMADEVARA Dhiraj']",,"['1546200', '1546108']",2,,
ATHM4X400M--IND01,India,M,IND,India,Athletics,ATH,Men's 4 x 400m Relay,"['JACOB Amoj', 'RAMESH Rajesh', 'TAMILARASAN Santhosh Kumar', 'VARIYATHODI Muhammed Ajmal', 'YAHIYA Muhammed Anas']",,"['1556210', '1544338', '1544339', '1544335', '1544336']",5,,
ATHW4X400M--IND01,India,W,IND,India,Athletics,ATH,Women's 4 x 400m Relay,"['DANDI Jyothika Sri', 'KIRAN Pahal', 'MACHETTIRA Poovamma Raju', 'RAMRAJ Vithya', 'VENKATESAN Subha']",,"['1544423', '1544479', '4667034', '1564579', '1544421']",5,,
ATHX42KWALKTIND01,PANWAR Suraj / PRIYANKA,X,IND,India,Athletics,ATH,Marathon Race Walk Relay Mixed,"['PANWAR Suraj', 'PRIYANKA']",,"['1544360', '1556208']",2,,
BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,M,IND,India,Badminton,BDM,Men's Doubles,"['RANKIREDDY Satwiksairaj', 'SHETTY Chirag']",,"['1539123', '1539125']",2,,
BDMWDOUBLES-IND01,CRASTO Tanisha / PONNAPPA Ashwini,W,IND,India,Badminton,BDM,Women's Doubles,"['CRASTO Tanisha', 'PONNAPPA Ashwini']",,"['1539183', '1539188']",2,,
HOCMTEAM11--IND01,India,M,IND,India,Hockey,HOC,Men,"['SINGH Jarmanpreet', 'ABHISHEK Abhishek', 'SINGH Manpreet', 'SINGH Hardik', 'SINGH Gurjant', 'SANJAY Sanjay', 'SINGH Mandeep', 'SINGH Harmanpreet', 'UPADHYAY Lalit Kumar', 'PARATTU RAVEENDRAN Sreejesh', 'SUMIT Sumit', 'SINGH Shamsher', 'PAL Raj Kumar', 'ROHIDAS Amit', 'PRASAD Vivek Sagar', 'SINGH Sukhjeet']","['LUCAS Artur Ferdinand', 'HALKETT Rhett Kennedy', 'FULTON Craig Arthur', 'TAN Alan', 'SINGH Shivendra', 'MURUGESAN Ranganathan', 'PARDIWALA Dinshaw Noshir']","['1543019', '1543026', '1543059', '1543020', '1543033', '1543061', '1543022', '1543017', '1543028', '1543015', '1543064', '1543024', '1543029', '1543031', '1543021', '1543030']",16,"['1543574', '1543575', '1543576', '1543578', '1545096', '1545098', '9240004']",7
SHOXAPMT----IND01,India 1,X,IND,India,Shooting,SHO,10m Air Pistol Mixed Team,"['BHAKER Manu', 'SINGH Sarabjot']",,"['1538159', '1545464']",2,,
SHOXAPMT----IND02,India 2,X,IND,India,Shooting,SHO,10m Air Pistol Mixed Team,"['SANGWAN Rhythm', 'CHEEMA Arjun Singh']",,"['1539767', '1539643']",2,,
SHOXARMT----IND01,India 1,X,IND,India,Shooting,SHO,10m Air Rifle Mixed Team,"['VALARIVAN Elavenil', 'SINGH Sandeep']",,"['1538161', '1539720']",2,,
SHOXARMT----IND02,India 2,X,IND,India,Shooting,SHO,10m Air Rifle Mixed Team,"['RAMITA Ramita', 'BABUTA Arjun']",,"['1539754', '1539636']",2,,
SHOXSKMT----IND01,India,X,IND,India,Shooting,SHO,Skeet Mixed Team,"['CHAUHAN Maheshwari', 'NARUKA Anant Jeet Singh']",,"['1538146', '1539615']",2,,
T103223108185,India,X,IND,India,Shooting,SHO,,"['BHAKER Manu', 'SAURABH Chaudhary']",,"['1538159', 'A199202244152']",2,,
T226192081090,India,X,IND,India,Shooting,SHO,,"['RAJU Narmada Nithin', 'PATIL Rudrankksh Balasaheb']",,"['A036175186183', 'A102146055101']",2,,
T229196244224,India,X,IND,India,Shooting,SHO,,"['BHAKER Manu', 'SAURABH Chaudhary']",,"['1538159', 'A199202244152']",2,,
T246209147071,India,X,IND,India,Shooting,SHO,,"['BHAKER Manu', 'SAURABH Chaudhary']",,"['1538159', 'A199202244152']",2,,
T96113713,India,M,IND,India,Athletics,ATH,,"['RAMESH Rajesh', 'YAHIYA Muhammed Anas', 'JACOB Amoj', 'VARIYATHODI Muhammed Ajmal']",,"['1544338', '1544336', '1556210', '1544335']",4,,
TENMDOUBLES-IND01,Balaji / Bopanna,M,IND,India,Tennis,TEN,Men's Doubles,"['BALAJI Nsriram', 'BOPANNA Rohan']",,"['1542473', '1542468']",2,,
TTEMTEAM----IND01,India,M,IND,India,Table Tennis,TTE,Men's Team,"['ACHANTA Sharath Kamal', 'DESAI Harmeet', 'THAKKAR Manav Vikash']",,"['1538151', '1538190', '1538104']",3,,
TTEWTEAM----IND01,India,W,IND,India,Table Tennis,TTE,Women's Team,"['BATRA Manika', 'AKULA Sreeja', 'KAMATH Archana Girish']",,"['1538096', '1538136', '1538193']",3,,
